data,A,B,C,D
2017-01-21|01:02:46.000,4854.80029,-4.07799,118.17168,48.43518
2017-01-21|01:02:56.000,4863.63916,-4.08666,118.20425,48.76196
2017-01-21|01:03:06.000,4854.76904,-4.09034,118.18189,48.5141
2017-01-21|01:03:16.000,4845.89941,-4.07993,118.17359,48.12698
2017-01-21|01:03:26.000,4850.35107,-4.08539,118.18795,47.83775
2017-01-21|01:03:36.000,4868.71875,-4.07993,118.17915,47.73942
2017-01-21|01:03:46.000,4887.08643,-4.06742,118.17799,47.70722
2017-01-21|01:03:56.000,4885.32178,-4.10604,118.188,47.66829
2017-01-21|01:04:06.000,4862.52002,-4.07358,118.15987,47.75571
2017-01-21|01:04:16.000,4839.71826,-4.1099,118.14661,47.72082
2017-01-21|01:04:26.000,4853.91895,-4.08094,118.14775,47.74768
2017-01-21|01:04:36.000,4884.83789,-4.07893,118.13969,47.65891
2017-01-21|01:04:46.000,4885.49365,-4.07446,118.149,47.61719
2017-01-21|01:04:56.000,4865.00635,-4.08465,118.15536,47.60334
2017-01-21|01:05:06.000,4847.47754,-4.10354,118.13856,47.63494
2017-01-21|01:05:16.000,4860.38184,-4.07472,118.12466,47.66565
2017-01-21|01:05:26.000,4873.28613,-4.07973,118.11884,47.72712
2017-01-21|01:05:36.000,4885.54053,-4.07426,118.12739,47.74757
2017-01-21|01:05:46.000,4894.99854,-4.05516,118.13594,47.71783
2017-01-21|01:05:56.000,4904.45654,-4.07278,118.12995,47.74878
2017-01-21|01:06:06.000,4917.33105,-4.08707,118.10857,47.68229
2017-01-21|01:06:16.000,4931.75195,-4.08363,118.09972,47.66727
2017-01-21|01:06:26.000,4903.65967,-4.08027,118.09087,47.62592
2017-01-21|01:06:36.000,4876.17578,-4.07257,118.0863,47.59182
2017-01-21|01:06:46.000,4853.48682,-4.09054,118.09196,47.49021
2017-01-21|01:06:56.000,4830.79785,-4.09523,118.11238,47.39304
2017-01-21|01:07:06.000,4834.03662,-4.08243,118.11043,47.38852
2017-01-21|01:07:16.000,4878.1543,-4.0837,118.08992,47.32936
2017-01-21|01:07:26.000,4888.66357,-4.05951,118.11034,47.33008
2017-01-21|01:07:36.000,4846.16113,-4.08698,118.09725,47.32387
2017-01-21|01:07:46.000,4833.44434,-4.08013,118.11053,47.33795
2017-01-21|01:07:56.000,4894.39941,-4.08036,118.11403,47.38609
2017-01-21|01:08:06.000,4928.37793,-4.09058,118.10231,47.39798
2017-01-21|01:08:16.000,4943.43994,-4.08091,118.10722,47.30008
2017-01-21|01:08:26.000,4940.95166,-4.07938,118.09989,47.29694
2017-01-21|01:08:36.000,4800.07568,-4.09577,118.11625,47.51667
2017-01-21|01:08:46.000,4850.36621,-4.08807,118.12032,47.8754
2017-01-21|01:08:56.000,4852.50293,-4.09158,118.1244,47.59922
2017-01-21|01:09:06.000,4820.84375,-4.08316,118.12847,46.90807
2017-01-21|01:09:16.000,4789.18457,-4.06156,118.13255,46.16893
2017-01-21|01:09:26.000,4801.51221,-4.03774,118.13663,45.65713
2017-01-21|01:09:36.000,4814.39648,-4.04503,118.14071,45.47359
2017-01-21|01:09:46.000,4777.65723,-4.01625,118.12493,46.64875
2017-01-21|01:09:56.000,4740.28467,-3.97571,118.10664,47.74051
2017-01-21|01:10:06.000,4713.8584,-3.95517,118.08835,47.92392
2017-01-21|01:10:16.000,4801.87109,-3.99801,118.10514,48.11023
2017-01-21|01:10:26.000,4799.53369,-3.97448,118.11313,47.76808
2017-01-21|01:10:36.000,4785.70947,-3.99789,118.09543,45.97546
2017-01-21|01:10:46.000,4771.88525,-3.95741,118.1141,45.99707
2017-01-21|01:10:56.000,4774.50928,-3.97629,118.08195,46.39149
2017-01-21|01:11:06.000,4781.58301,-3.96582,118.06483,46.95993
2017-01-21|01:11:16.000,4788.65625,-3.97345,118.0731,46.32625
2017-01-21|01:11:26.000,4791.22314,-3.97743,118.08138,45.87881
2017-01-21|01:11:36.000,4746.43701,-3.99946,118.08399,45.79424
2017-01-21|01:11:46.000,4701.65088,-3.98308,118.06191,46.21455
2017-01-21|01:11:56.000,4714.83154,-3.98355,118.05662,47.64972
2017-01-21|01:12:06.000,4739.52051,-4.01324,118.03083,48.125
2017-01-21|01:12:16.000,4781.22363,-4.01584,118.01978,48.25023
2017-01-21|01:12:26.000,4808.16309,-4.00428,118.00872,48.43555
2017-01-21|01:12:36.000,4798.37061,-4.01282,118.00897,48.38806
2017-01-21|01:12:46.000,4788.57813,-4.01279,118.01614,47.58617
2017-01-21|01:12:56.000,4778.78613,-4.05761,118.01802,47.34966
2017-01-21|01:13:06.000,4788.17773,-4.04289,117.9991,47.93317
2017-01-21|01:13:16.000,4811.09521,-4.0422,117.98705,48.36614
2017-01-21|01:13:26.000,4834.01221,-4.04146,118.01664,47.76364
2017-01-21|01:13:36.000,4836.87207,-4.0347,118.03323,47.14045
2017-01-21|01:13:46.000,4752.12793,-4.05007,118.01418,46.72462
2017-01-21|01:13:56.000,4743.38721,-4.07917,118.02572,46.56591
2017-01-21|01:14:06.000,4797.69873,-4.056,118.03099,47.13016
2017-01-21|01:14:16.000,4809.02686,-4.03838,118.00888,48.41879
2017-01-21|01:14:26.000,4820.35498,-4.04638,118.02303,48.03413
2017-01-21|01:14:36.000,4831.68311,-4.03596,118.00182,45.99503
2017-01-21|01:14:46.000,4814.17383,-4.03068,117.9903,45.8522
2017-01-21|01:14:56.000,4766.17822,-4.02476,118.0237,46.29447
2017-01-21|01:15:06.000,4767.02881,-4.00657,117.98699,46.31082
2017-01-21|01:15:16.000,4774.16504,-3.96678,118.02502,46.12098
2017-01-21|01:15:26.000,4781.30078,-3.99694,118.03457,46.82643
2017-01-21|01:15:36.000,4801.07129,-3.9943,118.02278,47.42913
2017-01-21|01:15:46.000,4821.02344,-4.02301,118.00983,48.34635
2017-01-21|01:15:56.000,4840.97607,-4.04244,118.01957,48.43269
2017-01-21|01:16:06.000,4803.59131,-4.0296,118.028,48.11238
2017-01-21|01:16:16.000,4765.375,-4.04788,117.98881,47.10401
2017-01-21|01:16:26.000,4806.81641,-4.04324,117.99995,46.81536
2017-01-21|01:16:36.000,4858.54834,-4.05211,117.98522,47.34892
2017-01-21|01:16:46.000,4816.11865,-4.03668,117.98917,47.83943
2017-01-21|01:16:56.000,4762.59326,-4.056,118.02756,47.67598
2017-01-21|01:17:06.000,4807.47119,-4.06748,117.99435,46.9747
2017-01-21|01:17:16.000,4773.72412,-4.05741,117.99701,46.42204
2017-01-21|01:17:26.000,4738.81152,-4.05211,117.98228,46.00774
2017-01-21|01:17:36.000,4736.28125,-4.03893,117.9875,45.88421
2017-01-21|01:17:46.000,4768.09473,-4.01607,117.99303,46.44781
2017-01-21|01:17:56.000,4792.32129,-4.02484,117.99855,47.65938
2017-01-21|01:18:06.000,4814.47266,-4.0257,118.00407,45.3757
2017-01-21|01:18:16.000,4821.86133,-4.00176,117.99222,44.85697
2017-01-21|01:18:26.000,4792.2334,-4.01837,118.0034,45.08713
2017-01-21|01:18:36.000,4768.93359,-3.9737,117.98004,45.02181
2017-01-21|01:18:46.000,4750.12354,-3.97171,117.9771,44.77299
2017-01-21|01:18:56.000,4713.04443,-3.96286,117.97415,44.3921
2017-01-21|01:19:06.000,4656.55811,-3.96193,117.9712,44.64182
2017-01-21|01:19:16.000,4600.07129,-3.94794,117.96825,45.22347
2017-01-21|01:19:26.000,4625.41309,-3.91522,117.9653,43.65978
2017-01-21|01:19:36.000,4613.59863,-3.90611,117.96236,43.95554
2017-01-21|01:19:46.000,4591.24951,-3.93858,117.9594,44.58706
2017-01-21|01:19:56.000,4568.90039,-3.93831,117.95646,45.05377
2017-01-21|01:20:06.000,4564.27344,-3.90111,117.95802,45.41772
2017-01-21|01:20:16.000,4588.00391,-3.90834,117.96301,46.34875
2017-01-21|01:20:26.000,4605.88281,-3.93858,117.94916,46.65368
2017-01-21|01:20:36.000,4614.39551,-3.93104,117.93259,44.84328
2017-01-21|01:20:46.000,4622.90771,-3.91067,117.93923,44.8151
2017-01-21|01:20:56.000,4631.42041,-3.91468,117.90949,45.54681
2017-01-21|01:21:06.000,4647.69336,-3.91949,117.9019,46.32515
2017-01-21|01:21:16.000,4669.48828,-3.9575,117.89452,47.38617
2017-01-21|01:21:26.000,4686.3916,-3.97317,117.88715,46.53715
2017-01-21|01:21:36.000,4650.09424,-3.99535,117.87978,45.46893
2017-01-21|01:21:46.000,4621.84277,-3.9862,117.8622,45.84707
2017-01-21|01:21:56.000,4606.48779,-3.98309,117.85017,46.33503
2017-01-21|01:22:06.000,4591.13232,-3.98412,117.87318,46.31686
2017-01-21|01:22:16.000,4586.32617,-3.98591,117.85306,46.00833
2017-01-21|01:22:26.000,4628.30225,-3.98528,117.86568,45.79467
2017-01-21|01:22:36.000,4640.88086,-3.98534,117.84928,45.52847
2017-01-21|01:22:46.000,4622.10547,-3.99565,117.84702,45.2618
2017-01-21|01:22:56.000,4603.33008,-3.97392,117.84475,45.08234
2017-01-21|01:23:06.000,4591.86035,-3.94173,117.84248,44.98913
2017-01-21|01:23:16.000,4612.8335,-3.94584,117.84022,45.0133
2017-01-21|01:23:26.000,4631.61182,-3.93515,117.83795,44.92796
2017-01-21|01:23:36.000,4626.36768,-3.95695,117.83569,45.0043
2017-01-21|01:23:46.000,4621.12354,-3.94016,117.83342,45.02465
2017-01-21|01:23:56.000,4615.87988,-3.93659,117.83115,45.00227
2017-01-21|01:24:06.000,4602.06787,-3.9286,117.8289,44.97989
2017-01-21|01:24:16.000,4584.29004,-3.91183,117.82663,45.07226
2017-01-21|01:24:26.000,4566.51221,-3.94391,117.82437,45.19471
2017-01-21|01:24:36.000,4574.78809,-3.92375,117.8307,45.25714
2017-01-21|01:24:46.000,4624.96582,-3.89072,117.84138,45.35098
2017-01-21|01:24:56.000,4667.34326,-3.89426,117.81828,46.28163
2017-01-21|01:25:06.000,4697.1709,-3.94044,117.81023,47.75845
2017-01-21|01:25:16.000,4712.26416,-4.00807,117.80219,48.59796
2017-01-21|01:25:26.000,4720.52588,-4.02395,117.82076,47.68394
2017-01-21|01:25:36.000,4728.7876,-4.01891,117.80378,46.96741
2017-01-21|01:25:46.000,4737.04883,-4.00198,117.81432,47.31436
2017-01-21|01:25:56.000,4719.85889,-4.05323,117.80325,47.43683
2017-01-21|01:26:06.000,4699.2998,-4.04594,117.82797,46.72889
2017-01-21|01:26:16.000,4678.74023,-4.05845,117.84563,45.82946
2017-01-21|01:26:26.000,4665.16504,-4.03758,117.79756,45.28095
2017-01-21|01:26:36.000,4651.71143,-4.00774,117.82485,44.79681
2017-01-21|01:26:46.000,4638.2583,-3.99095,117.83147,44.35958
2017-01-21|01:26:56.000,4619.03809,-3.96009,117.8381,44.06945
2017-01-21|01:27:06.000,4595.68945,-3.92557,117.84472,43.91185
2017-01-21|01:27:16.000,4578.77832,-3.90799,117.83074,43.80087
2017-01-21|01:27:26.000,4590.66455,-3.89284,117.82451,43.67652
2017-01-21|01:27:36.000,4602.55078,-3.85681,117.84664,43.56888
2017-01-21|01:27:46.000,4614.4375,-3.87638,117.83148,43.31784
2017-01-21|01:27:56.000,4534.77686,-3.85623,117.84502,43.14598
2017-01-21|01:28:06.000,4454.57227,-3.8428,117.84267,43.01685
2017-01-21|01:28:16.000,4426.52979,-3.78952,117.83909,42.894
2017-01-21|01:28:26.000,4451,-3.82048,117.84502,42.90768
2017-01-21|01:28:36.000,4505.67822,-3.8218,117.84216,42.96048
2017-01-21|01:28:46.000,4493.91064,-3.83104,117.83389,43.07161
2017-01-21|01:28:56.000,4482.14258,-3.8132,117.82561,43.13298
2017-01-21|01:29:06.000,4458.4834,-3.78898,117.83361,43.20881
2017-01-21|01:29:16.000,4431.51318,-3.77564,117.84919,43.28663
2017-01-21|01:29:26.000,4404.54346,-3.78707,117.84888,43.26206
2017-01-21|01:29:36.000,4414.46875,-3.81404,117.81681,43.26467
2017-01-21|01:29:46.000,4447.3667,-3.78952,117.80982,43.31799
2017-01-21|01:29:56.000,4437.84082,-3.8015,117.80284,43.45122
2017-01-21|01:30:06.000,4428.31494,-3.79336,117.79726,43.49321
2017-01-21|01:30:16.000,4418.78857,-3.82125,117.80747,43.57004
2017-01-21|01:30:26.000,4458.83936,-3.81351,117.81768,43.60957
2017-01-21|01:30:36.000,4499.80371,-3.81725,117.81018,43.5
2017-01-21|01:30:46.000,4497.25342,-3.79396,117.81064,43.71384
2017-01-21|01:30:56.000,4448.13721,-3.80648,117.78398,45.32257
2017-01-21|01:31:06.000,4506.75049,-3.87394,117.78968,46.84202
2017-01-21|01:31:16.000,4571.00146,-3.93908,117.77202,48.08453
2017-01-21|01:31:26.000,4698.71094,-4.05775,117.77973,48.73127
2017-01-21|01:31:36.000,4712.33496,-4.08801,117.7952,48.68953
2017-01-21|01:31:46.000,4694.06152,-4.09514,117.78395,48.49679
2017-01-21|01:31:56.000,4675.7876,-4.09223,117.80806,48.2365
2017-01-21|01:32:06.000,4671.13379,-4.04614,117.77527,46.79778
2017-01-21|01:32:16.000,4681.15234,-4.08428,117.80709,46.95948
2017-01-21|01:32:26.000,4702.8584,-4.05238,117.81328,47.27104
2017-01-21|01:32:36.000,4737.15918,-4.03973,117.84147,47.04842
2017-01-21|01:32:46.000,4771.45996,-4.05679,117.84222,46.35979
2017-01-21|01:32:56.000,4724.91455,-4.05908,117.84497,45.65691
2017-01-21|01:33:06.000,4685.02686,-4.03188,117.86797,45.20974
2017-01-21|01:33:16.000,4666.12842,-4.01476,117.87514,44.82343
2017-01-21|01:33:26.000,4647.23047,-3.99044,117.85973,45.44602
2017-01-21|01:33:36.000,4641.34668,-3.98704,117.89815,46.75504
2017-01-21|01:33:46.000,4668.76367,-3.97144,117.87883,47.04377
2017-01-21|01:33:56.000,4696.18066,-3.98194,117.91419,45.64297
2017-01-21|01:34:06.000,4683.7666,-3.97373,117.90977,44.25287
2017-01-21|01:34:16.000,4665.96729,-3.9509,117.91991,44.60207
2017-01-21|01:34:26.000,4619.68604,-3.93206,117.90787,45.05642
2017-01-21|01:34:36.000,4565.40869,-3.92172,117.9548,45.02618
2017-01-21|01:34:46.000,4558.52588,-3.92411,117.95486,44.6355
2017-01-21|01:34:56.000,4571.52344,-3.90373,117.94657,44.18478
2017-01-21|01:35:06.000,4557.70068,-3.89356,117.93829,43.83053
2017-01-21|01:35:16.000,4543.87793,-3.89603,117.93001,43.55261
2017-01-21|01:35:26.000,4530.05566,-3.87555,117.93549,43.88759
2017-01-21|01:35:36.000,4540.53271,-3.86983,117.95132,45.30835
2017-01-21|01:35:46.000,4557.84424,-3.86302,117.94028,46.18472
2017-01-21|01:35:56.000,4575.15527,-3.88003,117.92924,46.49538
2017-01-21|01:36:06.000,4582.85498,-3.87449,117.95365,46.37748
2017-01-21|01:36:16.000,4574.8916,-3.88387,117.95089,44.56735
2017-01-21|01:36:26.000,4566.92822,-3.85812,117.94813,44.45198
2017-01-21|01:36:36.000,4540.6709,-3.87982,117.94537,45.02335
2017-01-21|01:36:46.000,4494.61182,-3.86505,117.9426,45.27026
2017-01-21|01:36:56.000,4448.55322,-3.85091,117.93984,44.97902
2017-01-21|01:37:06.000,4463.15039,-3.83579,117.93708,44.77067
2017-01-21|01:37:16.000,4514.55371,-3.87042,117.93432,44.80871
2017-01-21|01:37:26.000,4547.65479,-3.88032,117.93156,46.27939
2017-01-21|01:37:36.000,4579.50244,-3.91345,117.93961,46.60698
2017-01-21|01:37:46.000,4608.12305,-3.92241,117.93433,47.14165
2017-01-21|01:37:56.000,4636.74414,-3.94565,117.9308,47.99213
2017-01-21|01:38:06.000,4648.29883,-3.98608,117.92825,47.69371
2017-01-21|01:38:16.000,4655.03467,-4.00453,117.939,47.29642
2017-01-21|01:38:26.000,4661.77051,-4.01853,117.9492,46.20469
2017-01-21|01:38:36.000,4657.57031,-3.9654,117.9352,45.8309
2017-01-21|01:38:46.000,4635.49561,-3.92626,117.95435,46.28143
2017-01-21|01:38:56.000,4613.4209,-3.95879,117.93963,46.65349
2017-01-21|01:39:06.000,4638.354,-4.00389,117.93725,46.325
2017-01-21|01:39:16.000,4669.72754,-3.98982,117.95792,45.68296
2017-01-21|01:39:26.000,4642.99121,-4.01353,117.96424,45.14994
2017-01-21|01:39:36.000,4599.80811,-3.96857,117.97056,44.84956
2017-01-21|01:39:46.000,4608.59814,-3.9615,117.97688,44.83219
2017-01-21|01:39:56.000,4632.10791,-3.94776,117.98342,45.65347
2017-01-21|01:40:06.000,4655.61768,-3.96726,117.991,46.83764
2017-01-21|01:40:16.000,4630.76709,-3.97972,117.99857,47.15346
2017-01-21|01:40:26.000,4599.27197,-3.98074,118.00615,47.54005
2017-01-21|01:40:36.000,4567.77686,-3.97786,118.01278,47.06103
2017-01-21|01:40:46.000,4604.25342,-3.97498,117.98485,46.03458
2017-01-21|01:40:56.000,4630.90869,-3.99856,118.01197,44.81421
2017-01-21|01:41:06.000,4652.23438,-3.95269,118.03092,45.25418
2017-01-21|01:41:16.000,4673.56055,-3.93179,118.01788,45.67241
2017-01-21|01:41:26.000,4658.7334,-3.92989,118.02564,45.77904
2017-01-21|01:41:36.000,4560.87891,-3.95225,118.05569,45.36404
2017-01-21|01:41:46.000,4585.13672,-3.97462,118.07527,44.75077
2017-01-21|01:41:56.000,4609.39502,-3.96071,118.03868,44.46164
2017-01-21|01:42:06.000,4632.58105,-3.95058,118.08395,44.60946
2017-01-21|01:42:16.000,4655.74414,-3.93241,118.08717,46.79328
2017-01-21|01:42:26.000,4678.90674,-3.97052,118.06651,48.74331
2017-01-21|01:42:36.000,4718.27637,-4.0167,118.10751,48.95599
2017-01-21|01:42:46.000,4762.25391,-4.01821,118.09207,49.11382
2017-01-21|01:42:56.000,4751.60986,-4.0394,118.1142,48.91802
2017-01-21|01:43:06.000,4715.08447,-4.02561,118.12056,48.28034
2017-01-21|01:43:16.000,4689.36963,-4.00882,118.12658,46.80798
2017-01-21|01:43:26.000,4713.44189,-4.04065,118.13261,46.9019
2017-01-21|01:43:36.000,4719.09326,-4.0611,118.13863,47.3684
2017-01-21|01:43:46.000,4704.65234,-4.05239,118.15139,47.71867
2017-01-21|01:43:56.000,4690.21191,-4.07264,118.16422,47.45351
2017-01-21|01:44:06.000,4697.04346,-4.04738,118.16652,47.0065
2017-01-21|01:44:16.000,4727.08691,-4.05096,118.19128,46.90353
2017-01-21|01:44:26.000,4754.31543,-4.09234,118.18354,47.54451
2017-01-21|01:44:36.000,4748.31494,-4.08246,118.21667,48.52306
2017-01-21|01:44:46.000,4742.31445,-4.05858,118.20545,48.99711
2017-01-21|01:44:56.000,4736.31348,-4.07158,118.22202,49.13523
2017-01-21|01:45:06.000,4723.20557,-4.07918,118.23858,49.18462
2017-01-21|01:45:16.000,4698.39697,-4.08266,118.25244,49.17201
2017-01-21|01:45:26.000,4673.58838,-4.07121,118.26334,48.92624
2017-01-21|01:45:36.000,4772.73584,-4.05818,118.27423,48.18411
2017-01-21|01:45:46.000,4789.97168,-4.0309,118.28513,47.94252
2017-01-21|01:45:56.000,4804.9458,-4.09522,118.29603,48.35843
2017-01-21|01:46:06.000,4819.91943,-4.08999,118.30693,48.76141
2017-01-21|01:46:16.000,4789.63623,-4.11712,118.31783,48.80035
2017-01-21|01:46:26.000,4743.4585,-4.10362,118.32365,48.98686
2017-01-21|01:46:36.000,4764.39844,-4.08999,118.30598,48.23837
2017-01-21|01:46:46.000,4785.33838,-4.07144,118.32595,47.64034
2017-01-21|01:46:56.000,4769.84424,-4.0813,118.34106,47.1809
2017-01-21|01:47:06.000,4714.4668,-4.0739,118.33578,46.94534
2017-01-21|01:47:16.000,4703.86328,-4.06177,118.34906,47.04879
2017-01-21|01:47:26.000,4742.29199,-4.0639,118.36052,47.43689
2017-01-21|01:47:36.000,4776.0708,-4.06006,118.37112,47.07881
2017-01-21|01:47:46.000,4804.75439,-4.09026,118.37827,47.22775
2017-01-21|01:47:56.000,4833.43799,-4.07574,118.36944,48.20384
2017-01-21|01:48:06.000,4786.00244,-4.09487,118.36061,48.18081
2017-01-21|01:48:16.000,4686.02002,-4.05106,118.38072,47.48486
2017-01-21|01:48:26.000,4729.61475,-4.04919,118.39227,47.14448
2017-01-21|01:48:36.000,4764.22607,-4.04212,118.40381,46.1602
2017-01-21|01:48:46.000,4792.25146,-4.04631,118.40746,46.0083
2017-01-21|01:48:56.000,4808.57422,-4.03581,118.38392,45.46251
2017-01-21|01:49:06.000,4684.21826,-4.00911,118.39867,45.64651
2017-01-21|01:49:16.000,4703.34912,-3.99464,118.40298,45.94351
2017-01-21|01:49:26.000,4746.42041,-4.00592,118.39791,46.34419
2017-01-21|01:49:36.000,4708.94238,-4.02771,118.41933,46.04456
2017-01-21|01:49:46.000,4673.29785,-4.00668,118.41901,45.5252
2017-01-21|01:49:56.000,4659.75732,-4.00766,118.42928,45.61602
2017-01-21|01:50:06.000,4646.2168,-4.02278,118.42171,46.70366
2017-01-21|01:50:16.000,4698.87549,-3.98921,118.41413,47.13069
2017-01-21|01:50:26.000,4783.19092,-3.98846,118.40656,47.56243
2017-01-21|01:50:36.000,4698.32813,-4.02467,118.43816,48.25811
2017-01-21|01:50:46.000,4647.35303,-4.03325,118.4473,47.93731
2017-01-21|01:50:56.000,4716.70996,-3.99766,118.45643,46.68788
2017-01-21|01:51:06.000,4691.62695,-4.00092,118.43011,45.61785
2017-01-21|01:51:16.000,4666.54395,-4.0057,118.42529,46.05948
2017-01-21|01:51:26.000,4679.44775,-3.99946,118.42047,46.48381
2017-01-21|01:51:36.000,4734.13574,-3.99692,118.41565,46.50823
2017-01-21|01:51:46.000,4748.37988,-3.99491,118.41084,46.61654
2017-01-21|01:51:56.000,4718.12012,-4.01497,118.41309,47.95707
2017-01-21|01:52:06.000,4687.86035,-4.04963,118.41415,47.9278
2017-01-21|01:52:16.000,4709.86084,-4.03438,118.43011,46.55299
2017-01-21|01:52:26.000,4716.93213,-4.0282,118.42529,45.65634
2017-01-21|01:52:36.000,4681.44824,-4.00176,118.42047,46.10771
2017-01-21|01:52:46.000,4645.96436,-3.99555,118.41565,46.46947
2017-01-21|01:52:56.000,4652.87549,-3.98709,118.41084,46.06214
2017-01-21|01:53:06.000,4711.52734,-4.00018,118.40756,45.4682
2017-01-21|01:53:16.000,4682.55371,-4.00319,118.42316,44.92657
2017-01-21|01:53:26.000,4653.58057,-4.00696,118.41629,44.4586
2017-01-21|01:53:36.000,4632.75,-3.99171,118.42115,44.15973
2017-01-21|01:53:46.000,4650.14795,-3.93446,118.43073,44.84345
2017-01-21|01:53:56.000,4667.5459,-3.91336,118.40703,44.8869
2017-01-21|01:54:06.000,4665.05273,-3.92446,118.43108,43.62859
2017-01-21|01:54:16.000,4610.25195,-3.89121,118.40697,43.23426
2017-01-21|01:54:26.000,4566.22852,-3.85849,118.39513,43.34995
2017-01-21|01:54:36.000,4527.38525,-3.84554,118.38358,43.22254
2017-01-21|01:54:46.000,4494.62939,-3.84959,118.40544,42.96142
2017-01-21|01:54:56.000,4490.51172,-3.83802,118.40547,42.71272
2017-01-21|01:55:06.000,4486.39404,-3.81007,118.39341,43.5537
2017-01-21|01:55:16.000,4498.72363,-3.77263,118.38135,44.48875
2017-01-21|01:55:26.000,4518.96484,-3.7589,118.35665,45.63684
2017-01-21|01:55:36.000,4539.20605,-3.78658,118.35251,46.98417
2017-01-21|01:55:46.000,4548.02637,-3.87626,118.34145,46.0582
2017-01-21|01:55:56.000,4537.81299,-3.87663,118.33038,44.69352
2017-01-21|01:56:06.000,4527.59961,-3.87139,118.33786,44.99449
2017-01-21|01:56:16.000,4517.38623,-3.85256,118.34837,45.66271
2017-01-21|01:56:26.000,4525.60254,-3.87692,118.32017,46.00978
2017-01-21|01:56:36.000,4534.29346,-3.86765,118.30627,45.55014
2017-01-21|01:56:46.000,4542.98438,-3.88332,118.31889,44.96721
2017-01-21|01:56:56.000,4553.02441,-3.85566,118.29623,44.45876
2017-01-21|01:57:06.000,4566.62598,-3.87227,118.28152,44.17422
2017-01-21|01:57:16.000,4580.22754,-3.89536,118.29366,44.34227
2017-01-21|01:57:26.000,4519.35645,-3.84972,118.27599,44.92554
2017-01-21|01:57:36.000,4450.81494,-3.88024,118.29695,46.31021
2017-01-21|01:57:46.000,4556.20557,-3.87158,118.28205,46.54787
